Rank	Rank Rep1	Rank Rep2	Rank Rep3	id	Lead gene name	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers	Q-value	Ratio H/L count M1_F1	Ratio H/L count M1_F2	Ratio H/L count M1_F3	Ratio H/L count M2_F1	Ratio H/L count M2_F2	Ratio H/L count M2_F3	Ratio H/L count M3_F1	Ratio H/L count M3_F2	Ratio H/L count M3_F3	Min Ratio count	LognRatio H/L M1_F1	LognRatio H/L M1_F2	LognRatio H/L M1_F3	LognRatio H/L M2_F1	LognRatio H/L M2_F2	LognRatio H/L M2_F3	LognRatio H/L M3_F1	LognRatio H/L M3_F2	LognRatio H/L M3_F3	Delta 1_1	Delta 1_2	Delta 1_3	Delta 2_1	Delta 2_2	Delta 2_3	Delta 3_1	Delta 3_2	Delta 3_3	Abs Dist 1	Abs Dist 2	Abs Dist 3	Abs Dist total	Median abs dist replicates	Max dist	Rob sum abs dist (minus max dist)	Chosen Distance	Total Ratio count	Percentile	Sum lower two reps			LognRatio H/L M1_F1	LognRatio H/L M1_F2	LognRatio H/L M1_F3	LognRatio H/L M2_F1	LognRatio H/L M2_F2	LognRatio H/L M2_F3	LognRatio H/L M3_F1	LognRatio H/L M3_F2	LognRatio H/L M3_F3				Add abundance filter	id	Gene names	Delta F3	Passes filter?	Correlation 1 vs 2	Correlation 1 vs 3	Correlation 2 vs 3	Min correl	Correlation with query	distance correl	Rank propduct three neighbourhoods	Rank three neigbourhoods	Rand
1698	1700	1536	1888	351	ABCC4	O15439;O15439-2;O15439-3;O15439-4	O15439;O15439-2;O15439-3	Multidrug resistance-associated protein 4	ABCC4	sp|O15439|MRP4_HUMAN Multidrug resistance-associated protein 4 OS=Homo sapiens OX=9606 GN=ABCC4 PE=1 SV=3;sp|O15439-2|MRP4_HUMAN Isoform 2 of Multidrug resistance-associated protein 4 OS=Homo sapiens OX=9606 GN=ABCC4;sp|O15439-3|MRP4_HUMAN Isoform 3 of Mul	0	14	21	19	9	17	15	9	21	18	9	0.457527697	-0.223705106	0.185860002	0.180515828	-0.330596412	-0.160108143	0.326377809	-0.47367447	-0.034366118	0.100810642	0.727103214	1.572092788	0.290707345	0.73224764	1.186524665	0.26949907	0.934355048	1.465268324	2.400006644	2.20947965	2.669122442	7.278608736	2.400006644	1.572092788	5.706515948	7.278608736	143	0.82	4.609486294																351	ABCC4	0.489	1	0.953482608	0.998218082	0.969771368	0.953482608	-0.009675015	1.009675015	4929945601	1836	0.795849586
2967	2540	3014	2977	1640	ABCD3	P28288;P28288-3	P28288	ATP-binding cassette sub-family D member 3	ABCD3	sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1	0	2	5	5	4	7	3	3	6	5	2	-0.085952985	0.083577616	0.572662116	-0.564144466	0.094302551	0.556813898	-0.535961605	-0.287152717	0.001111359	0.44267004	0.419820493	1.958894903	1.035367639	0.307348677	1.903446706	1.131838484	0.747833295	1.500745801	2.821385435	3.246163022	3.38041758	9.447966037	3.246163022	1.958894903	7.489071134	9.447966037	40	0.31	6.067548457																1640	ABCD3	-0.167	1	0.930982679	0.973498365	0.989797904	0.930982679	-0.725345152	1.725345152	22790602120	3009	0.411286541
1320	1058	1229	1740	2390	ABCE1	P61221	P61221	ATP-binding cassette sub-family E member 1	ABCE1	sp|P61221|ABCE1_HUMAN ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1	0	24	14	20	22	25	27	22	26	23	14	0.196540031	0.117544325	0.202393615	-0.082807111	0.157522133	-0.093257863	0.019305903	-0.039441163	0.028818837	0.160177025	0.385853784	1.588626401	0.554030284	0.244129095	1.253374945	0.576570976	0.500121742	1.528453279	2.13465721	2.051534324	2.605145996	6.791337531	2.13465721	1.588626401	5.20271113	6.791337531	203	0.90	4.186191534				F1	F2	F3										2390	ABCE1	-0.031	1	-0.999688518	0.997742229	-0.995755324	-0.999688518	0.034170185	0.965829815	2262490681	1377	0.80439701
1740	964	1861	2316	4762	ABCF1	Q8NE71;Q8NE71-2	Q8NE71;Q8NE71-2	ATP-binding cassette sub-family F member 1	ABCF1	sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2;sp|Q8NE71-2|ABCF1_HUMAN Isoform 2 of ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1	0	10	15	14	13	9	12	15	10	13	9	-0.043779692	0.182974415	-0.013124937	-0.263971992	0.167574876	0.060565267	-0.157460337	0.203678066	0.348962522	0.400496747	0.320423693	1.37310785	0.735195165	0.234076352	1.407198075	0.753337216	0.257002513	1.848596964	2.09402829	2.376469593	2.858936692	7.329434575	2.376469593	1.848596964	5.480837611	7.329434575	111	0.74	4.470497883			Rep 1	-0.356717055	-0.503398109	1.386232786										4762	ABCF1	-0.089	1	0.776384533	0.358072162	0.866471163	0.358072162	-0.336373557	1.336373557	4154913265	1733	0.703289222
2031	1823	2310	1748	7054	ABCF2	Q9UG63;Q9UG63-2	Q9UG63;Q9UG63-2	ATP-binding cassette sub-family F member 2	ABCF2	sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2;sp|Q9UG63-2|ABCF2_HUMAN Isoform 2 of ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2	0	10	14	14	17	10	11	13	10	11	10	-0.132042585	-0.153119412	-0.080565718	-0.321590277	0.196027717	0.252231371	-0.198031316	0.072419695	-0.07350063	0.48875964	0.656517521	1.305667068	0.79281345	0.205623511	1.598864179	0.793908194	0.388260883	1.426133812	2.45094423	2.59730114	2.60830289	7.656548259	2.59730114	1.598864179	6.05768408	7.656548259	110	0.74	5.04824537			Rep 2	-0.471223173	-0.401651228	1.346632808										7054	ABCF2	-0.184	1	0.320546878	-0.325819832	0.791103417	-0.325819832	-0.332647214	1.332647214	7361055240	2166	0.190145922
1278	1464	1503	1095	6705	ABCF3	Q9NUQ8;Q9NUQ8-2	Q9NUQ8;Q9NUQ8-2	ATP-binding cassette sub-family F member 3	ABCF3	sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2;sp|Q9NUQ8-2|ABCF3_HUMAN Isoform 2 of ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3	0	8	6	10	5	7	11	4	9	5	4	-0.050249442	0.15786979	0.174855504	0.270672255	-0.261085924	-0.016923303	-0.040295403	0.221418879	-0.152969211	0.406966497	0.345528319	1.56108829	0.200550918	0.662737152	1.329709505	0.636172282	0.239261699	1.34666523	2.313583106	2.192997575	2.222099211	6.728679892	2.222099211	1.56108829	5.167591602	6.728679892	65	0.54	4.415096786			Rep 3	-0.595876879	-0.460680578	1.499634442										6705	ABCF3	0.064	1	-0.855499056	0.157450884	-0.646044785	-0.855499056	0.161476183	0.838523817	2409429241	1412	0.993149397
3237	3288	3185	3177	6688	ABHD10	Q9NUJ1;Q9NUJ1-2;Q9NUJ1-3	Q9NUJ1;Q9NUJ1-2	"Mycophenolic acid acyl-glucuronide esterase, mitochondrial"	ABHD10	"sp|Q9NUJ1|ABHDA_HUMAN Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Homo sapiens OX=9606 GN=ABHD10 PE=1 SV=1;sp|Q9NUJ1-2|ABHDA_HUMAN Isoform 2 of Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Homo sapiens OX=9606 GN=ABHD10"	0	4	3	2	6	4	3	5	2	1	1	-1.167904896	-0.172723563	0.802477806	-1.143510257	0.052372243	0.42250255	-1.082600525	0.326184598	0.562553627	1.524621952	0.676121672	2.188710593	1.61473343	0.349278985	1.769135359	1.678477403	0.13449598	2.062188069	4.389454217	3.733147773	3.875161452	11.99776344	3.875161452	2.188710593	9.809052849	11.99776344	30	0.19	7.608309225																6688	ABHD10	-0.6	1	0.958339396	0.92699302	0.995508351	0.92699302	-0.723773992	1.723773992	33270433561	3258	0.985466453
2352	2725	1423	2424	5491	ABHD14B	Q96IU4;Q96IU4-2	Q96IU4	Alpha/beta hydrolase domain-containing protein 14B	ABHD14B	sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1	0	3	5	3	4	4	2	5	7	4	2	-0.32498008	-0.305267959	0.100093677	-0.045818456	0.251552091	0.139503974	0.044416627	-0.323881535	0.082877617	0.681697136	0.808666068	1.486326464	0.517041628	0.150099137	1.486136782	0.551460251	0.784562113	1.582512059	2.976689667	2.153277547	2.918534423	8.048501637	2.918534423	1.582512059	6.465989579	8.048501637	37	0.28	5.07181197																5491	ABHD14B	-0.232	1	0.181396024	0.538155893	-0.731243286	-0.731243286	-0.495540027	1.495540027	9399484201	2370	0.812711401
260	520	578	204	3717	ABHD17B	Q5VST6;Q5VST6-2	Q5VST6;Q5VST6-2	Alpha/beta hydrolase domain-containing protein 17B	ABHD17B	sp|Q5VST6|AB17B_HUMAN Alpha/beta hydrolase domain-containing protein 17B OS=Homo sapiens OX=9606 GN=ABHD17B PE=1 SV=1;sp|Q5VST6-2|AB17B_HUMAN Isoform 2 of Alpha/beta hydrolase domain-containing protein 17B OS=Homo sapiens OX=9606 GN=ABHD17B	0	7	10	10	9	7	9	7	10	7	7	1.036128933	0.497625345	-0.219254998	0.228839325	-0.184505327	-0.655828187	0.51339665	0.085995546	-0.620260492	0.679411878	0.005772764	1.166977788	0.242383848	0.586156555	0.690804621	0.082480228	0.374685032	0.87937395	1.85216243	1.519345024	1.336539211	4.708046665	1.519345024	1.166977788	3.541068877	4.708046665	76	0.60	2.855884235																3717	ABHD17B	0.454	1	0.999030728	0.998246999	0.994674182	0.994674182	0.768150714	0.231849286	61314240.85	290	0.845381071
303	2081	59	230	4515	ABI1	Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-2;Q8IZP0-4;Q8IZP0-3;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;Q8IZP0;Q8IZP0-12;Q8IZP0-11	Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-2;Q8IZP0-4;Q8IZP0-3;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;Q8IZP0;Q8IZP0-12;Q8IZP0-11	Abl interactor 1	ABI1	sp|Q8IZP0-10|ABI1_HUMAN Isoform 10 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1;sp|Q8IZP0-8|ABI1_HUMAN Isoform 8 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1;sp|Q8IZP0-7|ABI1_HUMAN Isoform 7 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1	0	11	11	12	10	3	18	6	5	7	3	1.852859394	0.359366012	-0.47075493	1.186963895	0.285230434	-1.43381449	1.324154667	0.003239267	-1.312709565	1.496142339	0.144032096	0.915477856	0.715740722	0.116420793	0.087181682	0.728277789	0.457441311	0.186924877	2.555652291	0.919343198	1.372643977	4.847639466	1.372643977	1.496142339	3.351497127	4.847639466	83	0.64	2.291987175																4515	ABI1	0.306	1	0.942252499	0.986862704	0.983981212	0.942252499	0.830600218	0.169399782	28239170.81	207	0.806243057
199	1820	640	5	6847	ABI2	Q9NYB9-2;Q9NYB9-4;Q9NYB9;Q9NYB9-3	Q9NYB9-2;Q9NYB9-4;Q9NYB9;Q9NYB9-3	Abl interactor 2	ABI2	sp|Q9NYB9-2|ABI2_HUMAN Isoform 2 of Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2;sp|Q9NYB9-4|ABI2_HUMAN Isoform 4 of Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2;sp|Q9NYB9|ABI2_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;sp|Q9N	0	4	4	3	1	5	4	2	2	2	1	0.657435147	-0.848740205	-0.59107027	1.306081971	-0.217003665	-1.211379099	0.610139921	0.207271331	-1.662414278	0.300718091	1.352138314	0.795162516	0.834858799	0.618654893	0.135253709	0.014263043	0.253409248	0.162779836	2.448018922	1.5887674	0.430452127	4.467238449	1.5887674	1.352138314	3.115100135	4.467238449	27	0.16	2.019219527																6847	ABI2	0.632	1	0.845362518	0.505421361	0.888204858	0.505421361	0.745736857	0.254263143	5824000.65	123	0.650100532
775	2334	494	518	6959	ABI3	Q9P2A4;Q9P2A4-2	Q9P2A4;Q9P2A4-2	ABI gene family member 3	ABI3	sp|Q9P2A4|ABI3_HUMAN ABI gene family member 3 OS=Homo sapiens OX=9606 GN=ABI3 PE=1 SV=2;sp|Q9P2A4-2|ABI3_HUMAN Isoform 2 of ABI gene family member 3 OS=Homo sapiens OX=9606 GN=ABI3	0	15	16	17	11	13	16	9	16	20	9	2.045713563	0.722821593	-0.611796713	1.630933747	0.266152389	-1.18001154	1.597104965	0.132398714	-1.169470251	1.688996508	0.219423484	0.774436074	1.159710574	0.135498839	0.166621268	1.001228087	0.328281864	0.330164191	2.682856066	1.461830681	1.659674142	5.804360889	1.659674142	1.688996508	4.115364381	5.804360889	133	0.80	3.121504823																6959	ABI3	0.575	1	0.999899659	0.999333342	0.998715893	0.998715893	0.84363092	0.15636908	597251928.4	858	0.408008656
2545	2393	2158	2779	990	ABL1	P00519;P00519-2	P00519;P00519-2	Tyrosine-protein kinase ABL1	ABL1	sp|P00519|ABL1_HUMAN Tyrosine-protein kinase ABL1 OS=Homo sapiens OX=9606 GN=ABL1 PE=1 SV=4;sp|P00519-2|ABL1_HUMAN Isoform IB of Tyrosine-protein kinase ABL1 OS=Homo sapiens OX=9606 GN=ABL1	0	8	8	8	8	9	4	2	7	2	2	0.163078829	-0.034586875	0.60295922	0.220519756	-0.388256438	0.127210286	-0.288971995	-0.411437879	-0.104677817	0.193638226	0.537984984	1.989192006	0.250703417	0.789907666	1.473843094	0.884848874	0.872118457	1.394956625	2.720815216	2.514454176	3.151923956	8.387193349	2.720815216	1.989192006	6.398001343	8.387193349	56	0.48	5.235269392																990	ABL1	0.151	1	0.635374928	0.994996149	0.70934902	0.635374928	-0.500310647	1.500310647	14351017226	2665	0.344069052
2740	3084	1137	2966	224	ABLIM1	O14639-2;O14639-6;O14639;O14639-4;O14639-3;O14639-5	O14639-2;O14639-6;O14639;O14639-4;O14639-3;O14639-5	Actin-binding LIM protein 1	ABLIM1	sp|O14639-2|ABLM1_HUMAN Isoform 2 of Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1;sp|O14639-6|ABLM1_HUMAN Isoform 6 of Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1;sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo 	0	4	8	7	5	6	6	4	10	6	4	1.56492001	-0.367692624	-0.031480807	-0.128706867	-0.718565045	-1.075629251	-0.715416958	-0.67043824	-0.576602884	1.208202954	0.871090733	1.354751979	0.59993004	1.120216273	0.271003557	1.311293837	1.131118818	0.923031558	3.434045666	1.99114987	3.365444213	8.79063975	3.365444213	1.354751979	7.43588777	8.79063975	56	0.48	5.356594083																224	ABLIM1	0.178	1	0.854534032	-0.631265881	-0.942263853	-0.942263853	0.20857263	0.79142737	10400302728	2427	0.114906921
295	867	305	345	2864	ABR	Q12979-2;Q12979-4;Q12979;Q12979-3	Q12979-2;Q12979-4;Q12979	Active breakpoint cluster region-related protein	ABR	sp|Q12979-2|ABR_HUMAN Isoform Short of Active breakpoint cluster region-related protein OS=Homo sapiens OX=9606 GN=ABR;sp|Q12979-4|ABR_HUMAN Isoform 4 of Active breakpoint cluster region-related protein OS=Homo sapiens OX=9606 GN=ABR;sp|Q12979|ABR_HUMAN Ac	0	16	20	15	9	9	17	8	12	14	8	1.140332275	0.350852816	-0.273263711	0.698777139	-0.047612208	-0.734328879	0.881832916	0.110528071	-0.650244135	0.783615219	0.152545293	1.112969076	0.227553966	0.449263436	0.61230393	0.285956037	0.350152507	0.849390307	2.049129588	1.289121331	1.485498852	4.823749771	1.485498852	1.112969076	3.710780695	4.823749771	120	0.77	2.774620183																2864	ABR	0.547	1	0.999058336	0.997986639	0.999798677	0.997986639	0.813470565	0.186529435	91230075.11	355	0.105348624
