Obs ID (Primary)	Obs ID ($ClassID)	Obs ID (Lead gene name)	Obs ID (Protein names)	Obs ID (Gene names)	Obs ID (Fasta headers)	Obs ID (Obs. Sec. ID:5)	Obs ID (Annotation Organelles)	Obs ID (Min Ratio count)	Class	M1.t[1]	M1.t[2]
979		GLUD1	Glutamate dehydrogenase 1, mitochondrial;Glutamate dehydrogenase 2, mitochondrial	GLUD1;GLUD2	sp|P00367|DHE3_HUMAN Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD1 PE=1 SV=2;sp|P00367-3|DHE3_HUMAN Isoform 3 of Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD1;sp|P00367-2|DHE3_HUMAN Isoform 2 of Gluta	1	Mitochondrion	2	---	-6.0504	-0.00641723
3440		IMMT	MICOS complex subunit MIC60	IMMT	sp|Q16891-2|MIC60_HUMAN Isoform 2 of MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT	1	Mitochondrion	4	---	-5.78249	-0.00779906
1179		DLD	Dihydrolipoyl dehydrogenase, mitochondrial	DLD	sp|P09622|DLDH_HUMAN Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=2;sp|P09622-3|DLDH_HUMAN Isoform 3 of Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD;sp|P09622-2|DLDH_HUMAN Isoform 2 of Dihyd	1	Mitochondrion	1	---	-5.75892	-0.073425
2406		HSPE1	10 kDa heat shock protein, mitochondrial	HSPE1	sp|P61604|CH10_HUMAN 10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=2	1	Mitochondrion	1	---	-6.5467	-1.07544
1875		MDH2	Malate dehydrogenase, mitochondrial	MDH2	sp|P40926|MDHM_HUMAN Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3;sp|P40926-2|MDHM_HUMAN Isoform 2 of Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2	1	Mitochondrion	9	---	-7.01911	-0.110105
1031		OAT	Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form	OAT	sp|P04181|OAT_HUMAN Ornithine aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=OAT PE=1 SV=1;sp|P04181-2|OAT_HUMAN Isoform 2 of Ornithine aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=OAT	1	Mitochondrion	1	---	-5.46252	-1.98728
1292		COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	COX4I1	sp|P13073|COX41_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1	1	Mitochondrion	3	---	-6.68825	1.17819
1821		ATP5C1	ATP synthase subunit gamma, mitochondrial	ATP5C1	sp|P36542|ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1;sp|P36542-2|ATPG_HUMAN Isoform Heart of ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C	1	Mitochondrion	2	---	-7.07092	-0.325571
1505		VDAC1	Voltage-dependent anion-selective channel protein 1	VDAC1	sp|P21796|VDAC1_HUMAN Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2	1	Mitochondrion	5	---	-5.58763	0.242045
5484		SUCLG2	Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial	SUCLG2	sp|Q96I99|SUCB2_HUMAN Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 SV=2;sp|Q96I99-2|SUCB2_HUMAN Isoform 2 of Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 G	1	Mitochondrion	2	---	-5.47392	0.580866
668		CS	Citrate synthase, mitochondrial	CS	sp|O75390|CISY_HUMAN Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2	1	Mitochondrion	4	---	-6.37673	0.251837
5793		ELAC2	Zinc phosphodiesterase ELAC protein 2	ELAC2	sp|Q9BQ52|RNZ2_HUMAN Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=2;sp|Q9BQ52-4|RNZ2_HUMAN Isoform 4 of Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens OX=9606 GN=ELAC2;sp|Q9BQ52-3|RNZ2_HUMAN Isoform 3 of Zinc phosph	1	Mitochondrion	2	---	-1.50969	3.35058
2698		SLC25A11	Mitochondrial 2-oxoglutarate/malate carrier protein	SLC25A11	sp|Q02978|M2OM_HUMAN Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens OX=9606 GN=SLC25A11 PE=1 SV=3;sp|Q02978-2|M2OM_HUMAN Isoform 2 of Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens OX=9606 GN=SLC25A11	1	Mitochondrion	1	---	-5.36435	0.763044
1769		SHMT2	Serine hydroxymethyltransferase, mitochondrial	SHMT2	sp|P34897-3|GLYM_HUMAN Isoform 3 of Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2;sp|P34897|GLYM_HUMAN Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3;sp|P34897-2|GLYM_HUMAN Isofor	1	Mitochondrion	8	---	-6.05726	0.265411
1731		UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	UQCRC1	sp|P31930|QCR1_HUMAN Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3	1	Mitochondrion	6	---	-5.50676	0.0767091
1690		ECHS1	Enoyl-CoA hydratase, mitochondrial	ECHS1	sp|P30084|ECHM_HUMAN Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ECHS1 PE=1 SV=4	1	Mitochondrion	4	---	-2.5298	2.10485
1511		MUT	Methylmalonyl-CoA mutase, mitochondrial	MUT	sp|P22033|MUTA_HUMAN Methylmalonyl-CoA mutase, mitochondrial OS=Homo sapiens OX=9606 GN=MMUT PE=1 SV=4	1	Mitochondrion	1	---	-4.69876	1.43783
1483		COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	COX5A	sp|P20674|COX5A_HUMAN Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens OX=9606 GN=COX5A PE=1 SV=2	1	Mitochondrion	1	---	-4.69339	-0.718609
969		TOMM40	Mitochondrial import receptor subunit TOM40 homolog	TOMM40	sp|O96008|TOM40_HUMAN Mitochondrial import receptor subunit TOM40 homolog OS=Homo sapiens OX=9606 GN=TOMM40 PE=1 SV=1;sp|O96008-2|TOM40_HUMAN Isoform 2 of Mitochondrial import receptor subunit TOM40 homolog OS=Homo sapiens OX=9606 GN=TOMM40	1	Mitochondrion	1	---	-3.78075	-0.561397
483		IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	IDH3B	sp|O43837|IDH3B_HUMAN Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3B PE=1 SV=2;sp|O43837-2|IDH3B_HUMAN Isoform A of Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3B	1	Mitochondrion	3	---	-4.9824	0.511614
1538		ME2	NAD-dependent malic enzyme, mitochondrial	ME2	sp|P23368|MAOM_HUMAN NAD-dependent malic enzyme, mitochondrial OS=Homo sapiens OX=9606 GN=ME2 PE=1 SV=1;sp|P23368-2|MAOM_HUMAN Isoform 2 of NAD-dependent malic enzyme, mitochondrial OS=Homo sapiens OX=9606 GN=ME2	1	Mitochondrion	2	---	-5.32093	0.347694
2619		TFAM	Transcription factor A, mitochondrial	TFAM	sp|Q00059|TFAM_HUMAN Transcription factor A, mitochondrial OS=Homo sapiens OX=9606 GN=TFAM PE=1 SV=1;sp|Q00059-2|TFAM_HUMAN Isoform 2 of Transcription factor A, mitochondrial OS=Homo sapiens OX=9606 GN=TFAM	1	Mitochondrion	1	---	-4.58982	1.72863
1528		UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	UQCRC2	sp|P22695|QCR2_HUMAN Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC2 PE=1 SV=3	1	Mitochondrion	3	---	-5.08933	0.245289
2819		PMPCA	Mitochondrial-processing peptidase subunit alpha	PMPCA	sp|Q10713|MPPA_HUMAN Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens OX=9606 GN=PMPCA PE=1 SV=2;sp|Q10713-2|MPPA_HUMAN Isoform 2 of Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens OX=9606 GN=PMPCA	1	Mitochondrion	2	---	-3.83205	-0.119387
7370		VDAC3	Voltage-dependent anion-selective channel protein 3	VDAC3	sp|Q9Y277|VDAC3_HUMAN Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1;sp|Q9Y277-2|VDAC3_HUMAN Isoform 2 of Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens OX=9606 GN=VDAC3	1	Mitochondrion	5	---	-5.38785	0.0413392
1569		ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	ACAT1	sp|P24752|THIL_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1	1	Mitochondrion	1	---	-3.31659	-1.55075
6659		IARS2	Isoleucine--tRNA ligase, mitochondrial	IARS2	sp|Q9NSE4|SYIM_HUMAN Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=IARS2 PE=1 SV=2	1	Mitochondrion	2	---	-3.64594	-3.19962
1852		HSPA9	Stress-70 protein, mitochondrial	HSPA9	sp|P38646|GRP75_HUMAN Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2	1	Mitochondrion	26	---	-4.41153	-0.00139766
2216		SUCLG1	Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	SUCLG1	sp|P53597|SUCA_HUMAN Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG1 PE=1 SV=4	1	Mitochondrion	1	---	-2.02519	1.97598
3423		HAGH	Hydroxyacylglutathione hydrolase, mitochondrial	HAGH	sp|Q16775|GLO2_HUMAN Hydroxyacylglutathione hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HAGH PE=1 SV=2;sp|Q16775-2|GLO2_HUMAN Isoform 2 of Hydroxyacylglutathione hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HAGH	1	Mitochondrion	6	---	0.28168	-1.07356
6251		PPA2	Inorganic pyrophosphatase 2, mitochondrial	PPA2	sp|Q9H2U2|IPYR2_HUMAN Inorganic pyrophosphatase 2, mitochondrial OS=Homo sapiens OX=9606 GN=PPA2 PE=1 SV=2;sp|Q9H2U2-2|IPYR2_HUMAN Isoform 2 of Inorganic pyrophosphatase 2, mitochondrial OS=Homo sapiens OX=9606 GN=PPA2;sp|Q9H2U2-3|IPYR2_HUMAN Isoform 3 of	1	Mitochondrion	2	---	-2.36637	2.72546
1229		DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	DLAT	sp|P10515|ODP2_HUMAN Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=3	1	Mitochondrion	1	---	-3.91523	0.914837
6982		SUCLA2	Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial	SUCLA2	sp|Q9P2R7-2|SUCB1_HUMAN Isoform 2 of Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLA2;sp|Q9P2R7|SUCB1_HUMAN Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLA2 P	1	Mitochondrion	1	---	-1.85145	1.96333
2095		CPT1A	Carnitine O-palmitoyltransferase 1, liver isoform	CPT1A	sp|P50416|CPT1A_HUMAN Carnitine O-palmitoyltransferase 1, liver isoform OS=Homo sapiens OX=9606 GN=CPT1A PE=1 SV=2;sp|P50416-2|CPT1A_HUMAN Isoform 2 of Carnitine O-palmitoyltransferase 1, liver isoform OS=Homo sapiens OX=9606 GN=CPT1A	1	Mitochondrion	2	---	-2.80411	-1.46287
1310		ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	ETFA	sp|P13804|ETFA_HUMAN Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=1;sp|P13804-2|ETFA_HUMAN Isoform 2 of Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ETFA	1	Mitochondrion	3	---	-2.61318	-0.405505
1143		PDHA1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	PDHA1	sp|P08559|ODPA_HUMAN Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3;sp|P08559-4|ODPA_HUMAN Isoform 4 of Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondria	1	Mitochondrion	1	---	-4.24369	1.92099
3978		MTHFD1L	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	MTHFD1L	sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1	1	Mitochondrion	1	---	-3.71368	-1.42233
1846		ETFB	Electron transfer flavoprotein subunit beta	ETFB	sp|P38117|ETFB_HUMAN Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=3;sp|P38117-2|ETFB_HUMAN Isoform 2 of Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB	1	Mitochondrion	6	---	-3.75284	0.503406
2296		OXCT1	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	OXCT1	sp|P55809|SCOT1_HUMAN Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV=1	1	Mitochondrion	2	---	-4.57014	0.593052
1784		PHB	Prohibitin	PHB	sp|P35232|PHB_HUMAN Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1	1	Mitochondrion	3	---	-4.1535	-0.238872
3606		PITRM1	Presequence protease, mitochondrial	PITRM1	sp|Q5JRX3|PREP_HUMAN Presequence protease, mitochondrial OS=Homo sapiens OX=9606 GN=PITRM1 PE=1 SV=3;sp|Q5JRX3-2|PREP_HUMAN Isoform 2 of Presequence protease, mitochondrial OS=Homo sapiens OX=9606 GN=PITRM1;sp|Q5JRX3-3|PREP_HUMAN Isoform 3 of Presequence p	1	Mitochondrion	1	---	-3.85518	-0.60323
6067		NLN	Neurolysin, mitochondrial	NLN	sp|Q9BYT8|NEUL_HUMAN Neurolysin, mitochondrial OS=Homo sapiens OX=9606 GN=NLN PE=1 SV=1	1	Mitochondrion	1	---	-1.19126	-0.164834
6810		CHCHD3	MICOS complex subunit MIC19	CHCHD3	sp|Q9NX63|MIC19_HUMAN MICOS complex subunit MIC19 OS=Homo sapiens OX=9606 GN=CHCHD3 PE=1 SV=1	1	Mitochondrion	1	---	-4.21341	-0.40837
1123		FH	Fumarate hydratase, mitochondrial	FH	sp|P07954-2|FUMH_HUMAN Isoform Cytoplasmic of Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH;sp|P07954|FUMH_HUMAN Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3	1	Mitochondrion	12	---	-2.06131	-1.31577
2257		AK2	Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed	AK2	sp|P54819-2|KAD2_HUMAN Isoform 2 of Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2;sp|P54819|KAD2_HUMAN Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2;sp|P54819-5|KAD2_HUMAN Isoform 5 of Adenylate kinase 2, mit	1	Mitochondrion	6	---	-2.36748	-0.223698
791		TOMM70A	Mitochondrial import receptor subunit TOM70	TOMM70A	sp|O94826|TOM70_HUMAN Mitochondrial import receptor subunit TOM70 OS=Homo sapiens OX=9606 GN=TOMM70 PE=1 SV=1	1	Mitochondrion	2	---	-2.7241	0.907528
3847		PDE12	2,5-phosphodiesterase 12	PDE12	sp|Q6L8Q7|PDE12_HUMAN 2,5-phosphodiesterase 12 OS=Homo sapiens OX=9606 GN=PDE12 PE=1 SV=2;sp|Q6L8Q7-2|PDE12_HUMAN Isoform 2 of 2,5-phosphodiesterase 12 OS=Homo sapiens OX=9606 GN=PDE12	1	Mitochondrion	6	---	-0.448105	-0.142553
2726		SSBP1	Single-stranded DNA-binding protein, mitochondrial	SSBP1	sp|Q04837|SSBP_HUMAN Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SSBP1 PE=1 SV=1	1	Mitochondrion	1	---	-2.5429	0.266009
1558		DTYMK	Thymidylate kinase	DTYMK	sp|P23919|KTHY_HUMAN Thymidylate kinase OS=Homo sapiens OX=9606 GN=DTYMK PE=1 SV=4;sp|P23919-2|KTHY_HUMAN Isoform 2 of Thymidylate kinase OS=Homo sapiens OX=9606 GN=DTYMK	1	Mitochondrion	14	---	-0.827215	-1.27186
982		GSR	Glutathione reductase, mitochondrial	GSR	sp|P00390-2|GSHR_HUMAN Isoform Cytoplasmic of Glutathione reductase, mitochondrial OS=Homo sapiens OX=9606 GN=GSR;sp|P00390|GSHR_HUMAN Glutathione reductase, mitochondrial OS=Homo sapiens OX=9606 GN=GSR PE=1 SV=2;sp|P00390-3|GSHR_HUMAN Isoform 2 of Glutath	1	Mitochondrion	13	---	-0.613717	-2.18138
6557		ACOT13	Acyl-coenzyme A thioesterase 13;Acyl-coenzyme A thioesterase 13, N-terminally processed	ACOT13	sp|Q9NPJ3|ACO13_HUMAN Acyl-coenzyme A thioesterase 13 OS=Homo sapiens OX=9606 GN=ACOT13 PE=1 SV=1;sp|Q9NPJ3-2|ACO13_HUMAN Isoform 2 of Acyl-coenzyme A thioesterase 13 OS=Homo sapiens OX=9606 GN=ACOT13	1	Mitochondrion	1	---	-1.95285	-1.25793
4868		RDH11	Retinol dehydrogenase 11	RDH11	sp|Q8TC12|RDH11_HUMAN Retinol dehydrogenase 11 OS=Homo sapiens OX=9606 GN=RDH11 PE=1 SV=2;sp|Q8TC12-2|RDH11_HUMAN Isoform 2 of Retinol dehydrogenase 11 OS=Homo sapiens OX=9606 GN=RDH11;sp|Q8TC12-3|RDH11_HUMAN Isoform 3 of Retinol dehydrogenase 11 OS=Homo s	2	ER	1	---	0.0653668	0.783558
6866		UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1	UGGT1	sp|Q9NYU2|UGGG1_HUMAN UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens OX=9606 GN=UGGT1 PE=1 SV=3;sp|Q9NYU2-2|UGGG1_HUMAN Isoform 2 of UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens OX=9606 GN=UGGT1	2	ER	5	---	-2.71236	0.00458456
3243		PDIA6	Protein disulfide-isomerase A6	PDIA6	sp|Q15084-3|PDIA6_HUMAN Isoform 3 of Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6;sp|Q15084|PDIA6_HUMAN Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1;sp|Q15084-4|PDIA6_HUMAN Isoform 4 of Protein disulfide-isom	2	ER	8	---	-2.90723	-0.843337
1330		HSP90B1	Endoplasmin	HSP90B1	sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	2	ER	24	---	-2.98802	-0.726881
1628		CALR	Calreticulin	CALR	sp|P27797|CALR_HUMAN Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1	2	ER	14	---	-3.09362	-0.702389
956		TXNDC12	Thioredoxin domain-containing protein 12	TXNDC12	sp|O95881|TXD12_HUMAN Thioredoxin domain-containing protein 12 OS=Homo sapiens OX=9606 GN=TXNDC12 PE=1 SV=1	2	ER	2	---	-3.32325	-1.45299
1241		HSPA5	78 kDa glucose-regulated protein	HSPA5	sp|P11021|BIP_HUMAN Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	2	ER	28	---	-2.66202	-0.238688
807		ERLIN2	Erlin-2	ERLIN2	sp|O94905|ERLN2_HUMAN Erlin-2 OS=Homo sapiens OX=9606 GN=ERLIN2 PE=1 SV=1	2	ER	1	---	-2.50355	2.15486
1682		ERP29	Endoplasmic reticulum resident protein 29	ERP29	sp|P30040|ERP29_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=4	2	ER	2	---	-2.65731	-0.0986603
1302		PDIA4	Protein disulfide-isomerase A4	PDIA4	sp|P13667|PDIA4_HUMAN Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2	2	ER	11	---	-3.23733	-1.1367
3165		GANAB	Neutral alpha-glucosidase AB	GANAB	sp|Q14697-2|GANAB_HUMAN Isoform 2 of Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB;sp|Q14697|GANAB_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3	2	ER	13	---	-2.74028	-0.699001
1102		P4HB	Protein disulfide-isomerase	P4HB	sp|P07237|PDIA1_HUMAN Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3	2	ER	14	---	-3.07532	-0.587253
7539		HYOU1	Hypoxia up-regulated protein 1	HYOU1	sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;sp|Q9Y4L1-2|HYOU1_HUMAN Isoform 2 of Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1	2	ER	17	---	-2.31402	-0.616837
1304		P4HA1	Prolyl 4-hydroxylase subunit alpha-1	P4HA1	sp|P13674-2|P4HA1_HUMAN Isoform 2 of Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens OX=9606 GN=P4HA1;sp|P13674-3|P4HA1_HUMAN Isoform 3 of Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens OX=9606 GN=P4HA1	2	ER	1	---	-1.98992	-1.03169
